Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Reginald Waterfall NeoWilliams Gaylord ::: (English) king's advisor, (American) waterfall, (American) new Williams, (French) merry lord; jailer
Maro Yorick Quigley Zoyamor ::: (Japanese) myself, (Scandinavian) a form of George, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Maro Bonito Fileas Gaylord ::: (Japanese) myself, (Latin) worthy, (Greek) he who loves deeply, (French) merry lord; jailer
Maro Percival Felix Waterfall ::: (Japanese) myself, (French) pierce the valley, (Latin) fortunate; happy, (American) waterfall
Reginald Renatus Felix Blackburn ::: (English) king's advisor, (Italian) reborn, (Latin) fortunate; happy, (Scottish) black brook
Maro Fileas Felix Blackburn ::: (Japanese) myself, (Greek) he who loves deeply, (Latin) fortunate; happy, (Scottish) black brook
Maro Emeterio Felix Zoyamor ::: (Japanese) myself, (Greek) he who deserves affection, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Reginald Emeterio Quigley Waterfall ::: (English) king's advisor, (Greek) he who deserves affection, (Irish) maternal side, (American) waterfall
Zoyamor Fileas Phoenix Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (English) phoenix, (American) waterfall
Maro Herodes Yorick NeoWilliams ::: (Japanese) myself, (Greek) the fire dragon, (Scandinavian) a form of George, (American) new Williams
Reginald Herodes Quigley Gaylord ::: (English) king's advisor, (Greek) the fire dragon, (Irish) maternal side, (French) merry lord; jailer
Zoyamor Maro Fileas Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) he who loves deeply, (Scottish) black brook
Reginald Fileas Hodgson Wright ::: (English) king's advisor, (Greek) he who loves deeply, (English) son of Roger, (English) maker
Maro Philander Waterfall Darwin ::: (Japanese) myself, (Greek) lover of mankind, (American) waterfall, (English) dear friend
Reginald Herodes Waterfall Blackburn ::: (English) king's advisor, (Greek) the fire dragon, (American) waterfall, (Scottish) black brook
Reginald Felix Bonito Waterfall ::: (English) king's advisor, (Latin) fortunate; happy, (Latin) worthy, (American) waterfall
Zoyamor Felix Emeterio Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Greek) he who deserves affection, (French) merry lord; jailer
Reginald Philander Zoyamor ::: (English) king's advisor, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings
Zoyamor Philander Gaylord Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (French) merry lord; jailer, (English) maker
Reginald Androcles Felix Waterfall ::: (English) king's advisor, (Greek) man covered with glory, (Latin) fortunate; happy, (American) waterfall
Reginald Phoenix Emeterio Gaylord ::: (English) king's advisor, (English) phoenix, (Greek) he who deserves affection, (French) merry lord; jailer
Zoyamor Reginald Herodes Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Greek) the fire dragon, (Scottish) black brook
Zoyamor Emeterio Androcles NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Greek) man covered with glory, (American) new Williams
Reginald Phoenix Zoyamor NeoWilliams ::: (English) king's advisor, (English) phoenix, (Greek/Latin/me) lover of all living beings, (American) new Williams
Reginald Bonito Phoenix Waterfall ::: (English) king's advisor, (Latin) worthy, (English) phoenix, (American) waterfall
Reginald Philander Yorick Gaylord ::: (English) king's advisor, (Greek) lover of mankind, (Scandinavian) a form of George, (French) merry lord; jailer
Zoyamor Felix Bonito NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Latin) worthy, (American) new Williams
Reginald Androcles Phoenix Waterfall ::: (English) king's advisor, (Greek) man covered with glory, (English) phoenix, (American) waterfall
Zoyamor Herodes Gaylord Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (French) merry lord; jailer, (English) son of Roger
Zoyamor Fileas Maro NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Japanese) myself, (American) new Williams
Maro Quigley Renatus Gaylord ::: (Japanese) myself, (Irish) maternal side, (Italian) reborn, (French) merry lord; jailer
Zoyamor Yorick Reginald Blackburn ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) king's advisor, (Scottish) black brook
Zoyamor Yorick NeoWilliams Wright ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (American) new Williams, (English) maker
Zoyamor Maro Darwin Hodgson ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) dear friend, (English) son of Roger
Zoyamor Herodes Quigley NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Irish) maternal side, (American) new Williams
Zoyamor Emeterio Phoenix Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (English) phoenix, (American) waterfall
Zoyamor Percival Gaylord Wright ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (French) merry lord; jailer, (English) maker
Zoyamor Herodes Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (English) son of Roger
Zoyamor Androcles Darwin Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) dear friend, (English) maker
Maro Herodes Quigley Blackburn ::: (Japanese) myself, (Greek) the fire dragon, (Irish) maternal side, (Scottish) black brook
Zoyamor Fileas Yorick Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Scandinavian) a form of George, (Scottish) black brook
Maro Fileas Androcles Hodgson ::: (Japanese) myself, (Greek) he who loves deeply, (Greek) man covered with glory, (English) son of Roger
Reginald Androcles Philander NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) lover of mankind, (American) new Williams
Zoyamor Quigley Darwin Wright ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) dear friend, (English) maker
Maro Reginald Androcles Wright ::: (Japanese) myself, (English) king's advisor, (Greek) man covered with glory, (English) maker
Reginald Percival Hodgson Gaylord ::: (English) king's advisor, (French) pierce the valley, (English) son of Roger, (French) merry lord; jailer
Maro Percival Phoenix Waterfall ::: (Japanese) myself, (French) pierce the valley, (English) phoenix, (American) waterfall
Zoyamor Bonito Blackburn Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Scottish) black brook, (French) merry lord; jailer
Reginald Percival Bonito Gaylord ::: (English) king's advisor, (French) pierce the valley, (Latin) worthy, (French) merry lord; jailer
Maro Reginald Percival Waterfall ::: (Japanese) myself, (English) king's advisor, (French) pierce the valley, (American) waterfall
Reginald Yorick Fileas Gaylord ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) he who loves deeply, (French) merry lord; jailer
Zoyamor Fileas Blackburn Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Scottish) black brook, (English) son of Roger
Reginald Fileas Phoenix Blackburn ::: (English) king's advisor, (Greek) he who loves deeply, (English) phoenix, (Scottish) black brook
Reginald Yorick Zoyamor NeoWilliams ::: (English) king's advisor, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings, (American) new Williams
Reginald Felix Fileas Hodgson ::: (English) king's advisor, (Latin) fortunate; happy, (Greek) he who loves deeply, (English) son of Roger
Maro Felix Androcles NeoWilliams ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) man covered with glory, (American) new Williams
Zoyamor Yorick Renatus NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Italian) reborn, (American) new Williams
Zoyamor Waterfall Emeterio Hodgson ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Greek) he who deserves affection, (English) son of Roger
Zoyamor Quigley Maro Darwin ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Japanese) myself, (English) dear friend
Zoyamor Renatus Waterfall Gaylord ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (American) waterfall, (French) merry lord; jailer
Zoyamor Fileas Renatus Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Italian) reborn, (American) waterfall
Zoyamor Felix Philander Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Greek) lover of mankind, (Scottish) black brook
Maro Phoenix Quigley Blackburn ::: (Japanese) myself, (English) phoenix, (Irish) maternal side, (Scottish) black brook
Reginald Philander Renatus Zoyamor ::: (English) king's advisor, (Greek) lover of mankind, (Italian) reborn, (Greek/Latin/me) lover of all living beings
Reginald Zoyamor Gaylord ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Reginald Renatus Percival Waterfall ::: (English) king's advisor, (Italian) reborn, (French) pierce the valley, (American) waterfall
Zoyamor Felix Percival Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (French) pierce the valley, (French) merry lord; jailer
Reginald Percival Renatus Blackburn ::: (English) king's advisor, (French) pierce the valley, (Italian) reborn, (Scottish) black brook
Reginald Waterfall Gaylord NeoWilliams ::: (English) king's advisor, (American) waterfall, (French) merry lord; jailer, (American) new Williams
Maro Phoenix Zoyamor Waterfall ::: (Japanese) myself, (English) phoenix, (Greek/Latin/me) lover of all living beings, (American) waterfall
Zoyamor Phoenix Gaylord NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (French) merry lord; jailer, (American) new Williams
Maro Yorick Phoenix Wright ::: (Japanese) myself, (Scandinavian) a form of George, (English) phoenix, (English) maker
Reginald Phoenix Maro Gaylord ::: (English) king's advisor, (English) phoenix, (Japanese) myself, (French) merry lord; jailer
Reginald Fileas Renatus Blackburn ::: (English) king's advisor, (Greek) he who loves deeply, (Italian) reborn, (Scottish) black brook
Reginald Quigley Fileas Gaylord ::: (English) king's advisor, (Irish) maternal side, (Greek) he who loves deeply, (French) merry lord; jailer
Reginald Fileas Yorick Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Zoyamor Philander Phoenix Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (English) phoenix, (English) son of Roger
Zoyamor Herodes Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (English) dear friend
Reginald Zoyamor Phoenix Waterfall ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (English) phoenix, (American) waterfall
Reginald Maro Zoyamor Hodgson ::: (English) king's advisor, (Japanese) myself, (Greek/Latin/me) lover of all living beings, (English) son of Roger
Reginald Fileas Emeterio Hodgson ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) he who deserves affection, (English) son of Roger
Reginald Waterfall Zoyamor Gaylord ::: (English) king's advisor, (American) waterfall, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Maro Androcles Gaylord Darwin ::: (Japanese) myself, (Greek) man covered with glory, (French) merry lord; jailer, (English) dear friend
Zoyamor Bonito Herodes Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) the fire dragon, (French) merry lord; jailer
Reginald Phoenix Waterfall Blackburn ::: (English) king's advisor, (English) phoenix, (American) waterfall, (Scottish) black brook
