Waterfall,American,waterfall,false
William,English,a form of Wilhelm,false
Androcles,Greek,man covered with glory,false
Barrick,English,axe ruler,false
Blackburn,Scottish,black brook,true
Bonaventure,Italian,good luck,false
Bonito,Latin,worthy,false
Cicero,Latin,chickpea,false
Darwin,English,dear friend,true
Emerenciano,Latin,deserving,false
Emeterio,Greek,he who deserves affection,false
Fabrizio,Italian,craftsman,false
Felisardo,Latin,valiant and skillful man,false
Felix,Latin,fortunate; happy,false
Fileas,Greek,he who loves deeply,false
Gallagher,Irish,eager helper,false
Gay,French,merry,true
Gaylord,French,merry lord; jailer,true
Gifford,English,bold giver,false
Hamill,English,scarred,false
Hamlin,German/French,loves his home,false
Hercules,Latin,glorious gift,false
Herodes,Greek,the fire dragon,false
Hildebrand,German,battle sword,false
Hodgson,English,son of Roger,false
Iniko,Ibo,born during bad times,false
Kanoa,Hawaiian,free,false
Kirian,Irish,he who was born in a dark place,false
Majencio,Latin,he who becomes more famous,false
Maro,Japanese,myself,false
Medarno,Saxon,he who deserves to be honored,false
Naldo,Spanish,a familiar form of Reginald,false
Nazareno,Hebrew,he who has separated himself from the rest,false
Nigel,Latin,dark night,false
NeoWilliams,American,new Williams,false
Odwin,German,noble friend,false
Okapi,Swahili,an African animal related to the giraffe but having a short neck,false
Orion,Greek,son of fire,false
Pacho,Spanish,free,false
Panteno,Greek,he who is worthy of all praise,false
Percival,French,pierce the valley,false
Philander,Greek,lover of mankind,false
Plinio,Latin,he who has many skills,false
Poliano,Greek,he who suffers,false
Prisco,Latin,old; from another time,false
Quigley,Irish,maternal side,false
Rafferty,Irish,"rich, prosperous",false
Ranger,French,forest keeper,false
Reginald,English,king's advisor,false
Renato/Renatus,Italian,reborn,false
Renfred,English,lasting peace,false
Riberto,German,brilliant because of his power,false
Rickward,English,mighty guardian,false
Rigoberto,German,splendid; wealthy,false
Riordan,Irish,"bard, royal poet",false
Robustiano,Latin,strong as the wood of an oak tree,false
Roderick,German,famous ruler,false
Rogan,Irish,redhead,false
Roland,German,famous throughout the land,false
Philzoyer,Greek/me,lover of all living beings,false
Philanimus,Greek/Latin/me,lover of all living beings,false
Amoranimus,Latin/me,lover of all living beings,false
Amorzoyer,Greek/Latin/me,lover of all living beings,false
Zoyamor,Greek/Latin/me,lover of all living beings,false
Sapay,Quechua,unique,false
Sinchipuma,Quechua,strong  leader and as valuable as a puma,false
Suncu,Quechua,he who has a good and noble heart,false
Sylvester,Latin,forest dweller,false
Tatiano,Latin,he who is quiet,false
Tigrio,Latin,tiger,false
Tristan,Welsh,bold,false
Trustan,English,trustworthy,false
Vaclav,Czech,wreath of glory,false
Valdus,German,powerful,false
Valero,Latin,valiant,false
Varick/Warrick,German,protecting ruler,false
Ventura,Latin,he who will be happy,false
Venturo,Spanish,good fortune,false
Vernados,German,courage of the bear,false
Vero,Latin,"truthful, credible",false
Vilhelm,German,a form of William,false
Volker,German,people's guard,false
Williams,German,son of William,true
Shakespeare,English,...,false
Walerian,Polish,strong; brave,false
Warick,English,town hero,false
Wilder,English,"wilderness, wild",false
Wilfred,German,determined peacemaker,false
Wilkins,English,William's kin,false
Willard,German,determined and brave,false
Wilstan,German,wolf stone,false
Wolfgang,German,wolf quarrel,false
Woodruff,English,forest ranger,false
Woolsey,English,victorious wolf,false
Xeneroso,Latin,generous,false
Xusto,Latin,"fair, just",false
Yorick,,(English) farmer (Scandinavian) a form of George,false
Wright,English,maker,false
Memfarita,Esperanto,self-made,false
Verlaten,Dutch,abandoned,false
Phoenix,English,phoenix,false
